ID,nonprofit,date,day,post_type,likes,comments,partnership,bible_quote,hashtags,graphic,graphic_with_image,short_form_vid,org_persons,statistic,holiday,persons_in_need,call_action,emojis,indv_quote,major_news,per_story
1,WR,2-Apr,Tue,1,32,0,0,1,5,1,0,3,0,0,0,0,0,0,0,0,0
2,WR,4-Apr,Thur,3,30,0,0,0,4,3,3,0,1,0,0,1,0,0,0,0,0
3,WR,6-Apr,Sat,1,33,1,0,0,0,1,1,3,0,0,0,1,1,0,0,0,0
4,WR,8-Apr,Mon,1,108,2,0,0,3,1,0,3,0,0,1,0,0,0,0,0,0
5,WR,9-Apr,Tue,1,71,1,0,0,7,1,0,3,0,0,1,0,0,0,0,0,0
6,WR,10-Apr,Wed,1,36,0,0,0,4,0,3,3,1,0,0,1,0,0,0,0,0
7,WR,12-Apr,Fri,3,31,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0
8,WR,14-Apr,Sun,2,240,12,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0
9,WR,15-Apr,Mon,1,33,0,0,0,5,1,1,3,0,0,0,0,0,0,0,0,0
10,WR,16-Apr,Tue,1,61,0,0,1,5,1,0,3,0,0,0,0,0,0,0,0,0
11,WR,17-Apr,Wed,1,32,0,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0
12,WR,18-Apr,Thur,1,55,0,0,0,4,1,1,3,1,0,0,0,0,0,0,0,0
13,WR,19-Apr,Fri,1,41,3,0,0,5,1,1,3,0,0,0,1,0,0,0,0,0
14,WR,20-Apr,Sat,2,722,12,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0
15,WR,20-Apr,Sat,2,44,1,0,0,4,1,1,3,1,0,0,0,0,0,1,1,1
16,WR,22-Apr,Mon,1,37,0,0,0,3,1,0,3,0,0,1,0,0,0,0,0,0
17,WR,23-Apr,Tue,1,43,2,0,1,5,1,0,3,0,0,0,0,0,0,0,0,0
18,WR,24-Apr,Wed,3,37,0,1,0,5,3,3,0,0,1,0,0,0,0,0,0,0
19,WR,25-Apr,Thur,2,41,2,0,0,4,1,1,3,0,0,0,0,0,0,0,0,0
20,WR,26-Apr,Fri,1,51,3,0,0,4,1,1,3,1,0,0,0,0,0,1,0,0
21,WR,28-Apr,Sun,1,78,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0
22,WR,29-Apr,Mon,1,44,2,0,0,5,0,3,3,0,0,0,1,0,0,0,0,0
23,WR,30-Apr,Tue,1,37,0,0,1,5,1,0,3,0,0,0,0,0,0,0,0,0
24,WR,1-May,Wed,1,44,3,0,0,3,1,0,3,0,0,1,0,0,0,0,0,0
25,WR,2-May,Thur,1,54,0,0,0,5,1,1,3,0,1,0,0,0,0,0,0,0
26,WR,3-May,Fri,1,42,1,0,0,0,0,3,3,0,0,0,1,0,0,0,0,1
27,WR,5-May,Sun,1,31,0,0,0,4,1,0,3,0,1,0,0,0,0,0,0,0
28,WR,6-May,Mon,1,58,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
29,WR,7-May,Tue,1,45,2,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0
30,WR,8-May,Wed,3,45,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0
31,WR,10-May,Fri,1,37,5,0,0,3,1,1,3,1,0,0,0,1,0,0,0,0
32,WR,12-May,Sun,3,68,0,1,0,4,3,3,0,1,0,0,0,0,0,0,0,0
33,WR,14-May,Tue,3,39,0,0,0,2,3,3,0,0,0,1,1,0,0,0,0,0
34,WR,17-May,Fri,1,73,0,0,0,5,1,1,3,0,0,0,1,1,0,0,0,0
35,WR,18-May,Sat,3,50,3,0,1,4,3,3,0,0,0,0,1,0,0,0,0,0
36,WR,19-May,Sun,1,38,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0
37,WR,20-May,Mon,1,64,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0
38,WR,21-May,Tue,1,45,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0
39,WR,22-May,Wed,3,92,0,0,0,0,3,3,0,1,0,0,1,0,0,0,1,0
40,WR,23-May,Thur,3,44,0,0,0,3,3,3,0,0,0,0,1,0,0,0,0,1
41,WR,25-May,Sat,1,31,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,1
42,WR,26-May,Sun,2,53,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0
43,WR,28-May,Tue,1,37,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0
44,WR,29-May,Wed,2,67,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
45,WR,30-May,Thur,1,45,4,0,0,0,1,1,3,1,0,0,1,0,0,1,0,0
46,WR,31-May,Fri,1,32,2,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0
47,WR,1-Jun,Sat,1,139,0,0,0,3,1,1,3,0,0,1,0,0,0,0,0,0
48,WR,2-Jun,Sun,1,101,1,0,0,5,1,0,3,0,1,0,0,0,0,0,0,0
49,WR,4-Jun,Tue,1,180,2,0,1,4,1,3,3,0,0,0,0,0,0,0,0,0
50,WR,5-Jun,Wed,1,29,0,0,0,3,1,0,3,0,1,0,0,0,0,0,0,0
51,WR,6-Jun,Thur,1,39,4,0,0,6,0,0,3,0,0,0,1,0,0,0,0,1
52,WR,7-Jun,Fri,1,29,0,0,0,4,1,1,3,0,0,0,1,0,0,0,0,0
53,WR,8-Jun,Sat,1,30,7,0,0,4,1,0,3,0,0,0,0,1,0,0,0,0
54,WR,9-Jun,Sun,3,44,6,0,0,6,3,3,0,0,0,0,1,0,0,0,0,1
55,WR,10-Jun,Mon,2,71,4,0,0,5,1,0,3,0,0,0,0,0,0,0,0,0
56,WR,11-Jun,Tue,1,51,0,0,1,5,1,0,3,0,0,0,0,0,0,0,0,0
57,WR,12-Jun,Wed,3,411,4,0,0,9,3,3,1,0,0,0,1,0,0,0,0,1
58,WR,13-Jun,Thur,2,63,0,1,0,4,1,0,3,0,0,0,0,0,0,0,0,0
59,WR,14-Jun,Fri,2,58,2,0,0,4,1,1,3,0,0,0,1,0,0,0,0,0
60,WR,16-Jun,Sun,3,25,1,0,0,6,3,3,0,0,0,0,1,0,0,0,0,1
61,WR,17-Jun,Mon,1,29,1,0,0,4,1,1,3,0,0,0,1,0,0,0,0,0
62,WR,18-Jun,Tue,1,46,1,0,1,5,1,0,3,0,0,0,0,0,0,0,0,0
63,WR,19-Jun,Wed,3,190,8,0,0,4,3,3,0,0,0,1,0,0,0,0,0,0
64,WR,21-Jun,Fri,1,835,26,0,0,4,1,0,3,0,0,0,0,0,0,0,1,0
65,WR,22-Jun,Sat,3,59,2,0,0,6,3,3,0,1,0,0,0,0,0,0,0,0
66,WR,23-Jun,Sun,1,62,0,0,0,5,1,0,3,0,0,0,0,0,0,0,0,0
67,WR,23-Jun,Sun,3,26,0,0,0,6,3,3,0,0,0,0,1,0,0,0,0,0
68,WR,24-Jun,Mon,1,55,3,0,0,4,1,1,3,0,0,0,0,0,0,0,0,0
69,WR,25-Jun,Tue,1,30,3,0,1,5,1,0,3,0,0,0,0,0,0,0,0,0
70,WR,26-Jun,Wed,2,64,0,0,0,5,1,1,3,0,0,0,1,0,0,0,0,0
71,WR,27-Jun,Thur,1,117,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0
72,WR,27-Jun,Thur,1,44,0,0,0,5,1,1,3,0,0,0,0,0,0,0,0,0
73,WR,29-Jun,Sat,1,30,0,0,0,5,1,1,3,0,0,0,0,1,0,0,0,0
74,WR,30-Jun,Sun,1,50,0,0,0,5,1,1,3,0,0,0,0,0,0,0,0,0
75,CI,2-Apr,Tue,1,1825,22,0,0,4,1,1,3,0,0,1,0,0,0,0,0,0
76,CI,2-Apr,Tue,3,720,17,0,0,0,3,3,0,0,0,1,1,0,1,0,0,0
77,CI,3-Apr,Wed,3,324,4,0,0,4,3,3,0,0,0,0,1,0,0,0,0,1
78,CI,4-Apr,Thur,3,1939,21,0,0,6,3,3,0,0,0,0,1,0,0,0,0,1
79,CI,5-Apr,Fri,3,363,6,0,0,6,3,3,0,0,1,0,1,0,1,0,0,0
80,CI,6-Apr,Sat,2,627,80,0,0,5,1,1,3,0,0,0,1,0,0,0,0,0
81,CI,6-Apr,Sat,3,1217,17,1,0,1,3,3,1,1,0,0,1,1,0,0,0,0
82,CI,7-Apr,Sun,2,922,7,0,0,4,1,1,3,0,0,1,0,0,0,0,0,0
83,CI,9-Apr,Tue,1,11655,52,0,1,3,1,1,3,0,0,1,0,0,1,0,0,0
84,CI,9-Apr,Tue,3,527,3,0,0,8,3,3,0,0,0,1,1,0,0,0,0,0
85,CI,10-Apr,Wed,3,435,6,0,0,5,3,3,1,0,0,0,1,0,0,0,0,1
86,CI,11-Apr,Thur,3,275,3,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0
87,CI,12-Apr,Fri,1,533,3,0,0,3,1,0,3,0,0,0,0,0,1,0,0,0
88,CI,12-Apr,Fri,3,550,12,0,0,5,3,3,0,0,0,0,1,0,1,0,0,1
89,CI,13-Apr,Sat,3,980,15,0,0,5,3,3,0,0,0,0,1,0,0,0,0,1
90,CI,17-Apr,Wed,3,247,6,0,0,4,3,3,0,1,0,0,0,0,1,0,0,1
91,CI,18-Apr,Thur,3,433,4,0,0,3,3,3,0,1,0,0,0,0,0,0,0,1
92,CI,19-Apr,Fri,3,635,11,0,0,5,3,3,0,1,0,0,1,0,0,0,0,0
93,CI,20-Apr,Sat,2,708,10,0,0,1,1,1,3,0,0,0,1,1,0,0,0,0
94,CI,21-Apr,Sun,3,392,12,0,0,6,3,3,1,1,0,0,0,0,0,0,0,0
95,CI,21-Apr,Sun,3,31,1,0,0,5,3,3,0,1,0,0,1,0,0,0,0,0
96,CI,22-Apr,Mon,2,359,1,0,0,4,1,0,3,0,0,1,0,0,1,0,0,0
97,CI,22-Apr,Mon,3,389,2,0,0,6,3,3,0,0,0,1,1,0,2,0,0,1
98,CI,24-Apr,Wed,3,1380,13,0,0,5,3,3,1,0,0,0,1,0,1,0,0,1
99,CI,25-Apr,Thur,2,352,3,0,0,0,1,1,3,0,0,0,1,1,0,0,0,0
100,CI,26-Apr,Fri,3,466,3,0,0,10,3,3,1,0,0,0,1,0,2,0,0,1
101,CI,28-Apr,Sun,3,504,2,0,0,6,3,3,0,0,0,0,1,0,1,0,0,0
102,CI,29-Apr,Mon,3,399,17,0,0,4,3,3,1,1,0,0,0,1,1,0,0,1
103,CI,30-Apr,Tue,3,485,5,0,0,5,3,3,0,1,0,0,1,0,3,0,0,0
104,CI,1-May,Wed,2,510,6,0,0,5,0,1,3,0,0,0,1,0,1,0,0,0
105,CI,2-May,Thur,3,785,12,0,0,4,3,3,0,0,0,0,1,0,0,0,0,1
106,CI,2-May,Thur,1,644,8,0,0,4,0,3,3,0,0,0,1,0,0,0,0,1
107,CI,3-May,Fri,1,499,5,0,1,3,1,1,3,0,0,0,0,0,0,0,0,0
108,CI,4-May,Sat,3,760,3,0,0,0,3,3,0,0,0,0,1,0,0,0,0,1
109,CI,5-May,Sun,3,507,7,0,0,6,3,3,0,1,0,0,0,0,1,0,0,0
110,CI,7-May,Tue,1,670,6,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
111,CI,8-May,Wed,3,1815,40,0,0,4,3,3,0,0,0,0,1,0,0,0,0,1
112,CI,9-May,Thur,2,899,11,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0
113,CI,10-May,Fri,3,313,7,0,0,4,3,3,0,0,0,0,1,0,1,0,0,1
114,CI,11-May,Sat,3,579,5,0,0,6,3,3,0,1,0,0,0,0,0,0,0,0
115,CI,12-May,Sun,2,557,8,0,0,5,0,3,3,0,0,0,1,0,0,0,0,1
116,CI,13-May,Mon,3,1696,15,0,0,4,3,3,0,0,0,1,1,0,0,0,0,1
117,CI,14-May,Tue,3,1027,6,0,1,2,3,3,0,0,0,1,1,0,0,0,0,0
